data_atual,caso_teste,tempo_total,conclusao,melhor_resultado,num_nos_explorados,limitante_dual,gap
2021-12-03 15:00:21,instances/d60900.in,3.013782024383545,XXXXXX,-54824.0,1.0,-54551.0,0.004979570990806946
2021-12-03 15:00:24,instances/d201600.in,3.0055270195007324,XXXXXX,-97921.0,1.0,-97822.0,0.0010110190868148814
2021-12-03 15:00:25,instances/d401600.in,1.0299999713897705,XXXXXX,-97285.0,1.0,-97105.0,0.0018502338490003598
